,userId,Reputation,Views,UpVotes,DownVotes,postId,Score,ViewCount,CommentCount,Outlier
1092,74,2316,1126,74,65,100569,1,71,2,Reputation
1116,82,685,49,68,0,5387,14,4277,3,Reputation
1117,82,685,49,68,0,5502,10,1918,0,Reputation
1121,82,685,49,68,0,11091,7,217,5,Reputation
1128,82,685,49,68,0,12721,7,255,9,Reputation
1131,82,685,49,68,0,17967,4,125,2,Reputation
1137,82,685,49,68,0,28571,3,60,2,Reputation
1138,82,685,49,68,0,38429,2,137,3,Reputation
1141,83,804,64,11,0,118,122,39118,11,Reputation
1146,87,740,89,58,2,196,19,4090,2,Reputation
1150,87,740,89,58,2,14497,4,3161,5,Reputation
1166,88,14082,3320,4235,126,341,2,435,0,Reputation
1182,88,14082,3320,4235,126,526,7,466,0,Reputation
1188,88,14082,3320,4235,126,602,3,247,2,Reputation
1192,88,14082,3320,4235,126,631,22,4341,0,Reputation
1237,88,14082,3320,4235,126,2179,17,2486,0,Reputation
1250,88,14082,3320,4235,126,2455,10,2740,0,Reputation
1290,88,14082,3320,4235,126,4211,15,1230,0,Reputation
1321,88,14082,3320,4235,126,6298,22,3093,4,Reputation
1358,88,14082,3320,4235,126,10501,2,1356,0,Reputation
1373,88,14082,3320,4235,126,12763,10,649,1,Reputation
1437,88,14082,3320,4235,126,29717,4,316,0,Reputation
1496,89,1281,105,61,4,411,31,3293,8,Reputation
1497,89,1281,105,61,4,414,20,5291,0,Reputation
1592,114,708,61,44,1,97,35,14608,1,Reputation
1594,114,708,61,44,1,527,6,2504,2,Reputation
1595,114,708,61,44,1,1355,5,324,7,Reputation
1598,114,708,61,44,1,1501,3,210,8,Reputation
1599,114,708,61,44,1,1780,6,313,0,Reputation
1604,114,708,61,44,1,18682,3,130,0,Reputation
1606,114,708,61,44,1,24837,4,620,0,Reputation
1658,139,758,241,41,0,9299,11,375,8,Reputation
1670,139,758,241,41,0,29332,9,397,1,Reputation
1679,144,1396,269,477,1,146,12,4419,3,Reputation
1681,144,1396,269,477,1,612,12,3981,4,Reputation
1684,144,1396,269,477,1,1081,3,556,2,Reputation
1685,144,1396,269,477,1,1352,10,864,0,Reputation
1687,144,1396,269,477,1,1764,17,1101,6,Reputation
1688,144,1396,269,477,1,2591,7,2988,1,Reputation
1692,144,1396,269,477,1,5128,7,282,0,Reputation
1695,144,1396,269,477,1,6350,18,16285,5,Reputation
1700,144,1396,269,477,1,10058,6,536,2,Reputation
1701,144,1396,269,477,1,14741,1,120,1,Reputation
1702,144,1396,269,477,1,15239,2,330,2,Reputation
1703,144,1396,269,477,1,15322,4,575,1,Reputation
1707,144,1396,269,477,1,20758,2,92,1,Reputation
1713,144,1396,269,477,1,31358,5,360,1,Reputation
1714,144,1396,269,477,1,32188,4,714,1,Reputation
1739,159,18283,3781,1014,59,181,50,39097,0,Reputation
1741,159,18283,3781,1014,59,213,51,9772,3,Reputation
1749,159,18283,3781,1014,59,534,44,11149,6,Reputation
1753,159,18283,3781,1014,59,622,15,3833,0,Reputation
1775,159,18283,3781,1014,59,1444,66,28878,5,Reputation
1809,159,18283,3781,1014,59,3752,12,366,6,Reputation
1848,159,18283,3781,1014,59,13530,8,226,6,Reputation
2010,159,18283,3781,1014,59,91462,26,486,4,Reputation
2074,174,792,78,163,4,539,34,9369,2,Reputation
2075,174,792,78,163,4,1815,21,5593,4,Reputation
2076,174,792,78,163,4,1955,4,194,0,Reputation
2081,174,792,78,163,4,5771,3,385,0,Reputation
2094,179,1416,147,352,10,3331,25,3894,6,Reputation
2098,179,1416,147,352,10,4101,9,1264,0,Reputation
2099,179,1416,147,352,10,7521,2,135,1,Reputation
2100,179,1416,147,352,10,8107,5,7537,0,Reputation
2101,179,1416,147,352,10,8750,3,2056,0,Reputation
2102,179,1416,147,352,10,10386,4,279,4,Reputation
2103,179,1416,147,352,10,13686,42,4982,2,Reputation
2104,179,1416,147,352,10,14671,3,265,6,Reputation
2105,179,1416,147,352,10,15635,5,1371,0,Reputation
2106,179,1416,147,352,10,15784,6,323,8,Reputation
2107,179,1416,147,352,10,16516,10,4454,1,Reputation
2108,179,1416,147,352,10,16528,1,1540,5,Reputation
2109,179,1416,147,352,10,16930,1,1204,1,Reputation
2110,179,1416,147,352,10,18105,3,439,0,Reputation
2112,179,1416,147,352,10,18745,6,635,9,Reputation
2113,179,1416,147,352,10,24559,3,313,3,Reputation
2114,179,1416,147,352,10,24613,3,522,4,Reputation
2115,179,1416,147,352,10,27428,2,156,5,Reputation
2116,179,1416,147,352,10,27429,6,1071,5,Reputation
2119,179,1416,147,352,10,28772,3,684,0,Reputation
2122,179,1416,147,352,10,30220,1,636,0,Reputation
2123,179,1416,147,352,10,30423,2,111,0,Reputation
2125,179,1416,147,352,10,30907,7,779,0,Reputation
2127,179,1416,147,352,10,34407,1,56,0,Reputation
2128,179,1416,147,352,10,35761,2,49,2,Reputation
2129,179,1416,147,352,10,35819,4,426,2,Reputation
2130,179,1416,147,352,10,79041,0,45,0,Reputation
2131,179,1416,147,352,10,84341,7,195,1,Reputation
2132,179,1416,147,352,10,91642,4,71,4,Reputation
2134,179,1416,147,352,10,99058,6,132,4,Reputation
2138,183,22625,4069,2496,45,203,16,6033,2,Reputation
2142,183,22625,4069,2496,45,485,48,4470,3,Reputation
2169,183,22625,4069,2496,45,1580,12,7655,2,Reputation
2175,183,22625,4069,2496,45,1646,7,1032,3,Reputation
2193,183,22625,4069,2496,45,1942,4,319,0,Reputation
2195,183,22625,4069,2496,45,1980,53,2985,0,Reputation
2201,183,22625,4069,2496,45,2022,4,157,0,Reputation
2203,183,22625,4069,2496,45,2061,11,1054,1,Reputation
2209,183,22625,4069,2496,45,2259,3,824,0,Reputation
2217,183,22625,4069,2496,45,2432,13,1030,3,Reputation
2220,183,22625,4069,2496,45,2469,9,5812,0,Reputation
2223,183,22625,4069,2496,45,2648,6,279,3,Reputation
2227,183,22625,4069,2496,45,2777,19,2472,0,Reputation
2233,183,22625,4069,2496,45,2966,6,156,0,Reputation
2235,183,22625,4069,2496,45,3006,8,634,0,Reputation
2236,183,22625,4069,2496,45,3038,15,3712,4,Reputation
2239,183,22625,4069,2496,45,3100,3,267,4,Reputation
2240,183,22625,4069,2496,45,3180,7,225,4,Reputation
2243,183,22625,4069,2496,45,3466,23,10853,4,Reputation
2244,183,22625,4069,2496,45,3542,38,1548,9,Reputation
2246,183,22625,4069,2496,45,3730,47,49948,0,Reputation
2251,183,22625,4069,2496,45,4131,6,725,2,Reputation
2255,183,22625,4069,2496,45,4429,20,1199,2,Reputation
2256,183,22625,4069,2496,45,4466,26,672,1,Reputation
2259,183,22625,4069,2496,45,4500,6,347,0,Reputation
2260,183,22625,4069,2496,45,4501,3,440,6,Reputation
2262,183,22625,4069,2496,45,4898,7,1866,0,Reputation
2264,183,22625,4069,2496,45,5238,13,3751,2,Reputation
2266,183,22625,4069,2496,45,5249,16,470,6,Reputation
2268,183,22625,4069,2496,45,5418,39,1764,2,Reputation
2282,183,22625,4069,2496,45,7285,9,217,6,Reputation
2301,183,22625,4069,2496,45,9304,5,52,0,Reputation
2315,183,22625,4069,2496,45,9988,3,601,8,Reputation
2319,183,22625,4069,2496,45,10020,9,1271,0,Reputation
2321,183,22625,4069,2496,45,10079,32,37288,0,Reputation
2325,183,22625,4069,2496,45,10137,2,1069,0,Reputation
2331,183,22625,4069,2496,45,10884,6,10288,7,Reputation
2337,183,22625,4069,2496,45,11189,3,880,0,Reputation
2338,183,22625,4069,2496,45,11191,5,831,0,Reputation
2341,183,22625,4069,2496,45,11255,11,241,0,Reputation
2353,183,22625,4069,2496,45,11616,4,438,0,Reputation
2357,183,22625,4069,2496,45,11653,3,1859,0,Reputation
2364,183,22625,4069,2496,45,12663,4,169,1,Reputation
2369,183,22625,4069,2496,45,13146,1,202,4,Reputation
2370,183,22625,4069,2496,45,13148,19,507,7,Reputation
2390,183,22625,4069,2496,45,14067,17,437,3,Reputation
2421,183,22625,4069,2496,45,16262,7,666,0,Reputation
2427,183,22625,4069,2496,45,16454,8,507,5,Reputation
2432,183,22625,4069,2496,45,16631,16,727,0,Reputation
2434,183,22625,4069,2496,45,16646,7,767,3,Reputation
2436,183,22625,4069,2496,45,16698,2,105,0,Reputation
2458,183,22625,4069,2496,45,19729,4,4610,5,Reputation
2463,183,22625,4069,2496,45,20093,5,526,0,Reputation
2485,183,22625,4069,2496,45,30294,8,381,2,Reputation
2487,183,22625,4069,2496,45,30303,13,7307,12,Reputation
2498,183,22625,4069,2496,45,30736,4,221,0,Reputation
2499,183,22625,4069,2496,45,30790,1,1393,0,Reputation
2520,183,22625,4069,2496,45,55929,7,420,2,Reputation
2522,183,22625,4069,2496,45,55990,2,328,1,Reputation
2527,183,22625,4069,2496,45,56747,4,422,1,Reputation
2541,183,22625,4069,2496,45,57650,1,281,2,Reputation
2545,183,22625,4069,2496,45,58758,2,64,1,Reputation
2549,183,22625,4069,2496,45,58765,9,2569,2,Reputation
2562,183,22625,4069,2496,45,61809,10,499,7,Reputation
2565,183,22625,4069,2496,45,62795,6,640,7,Reputation
2572,183,22625,4069,2496,45,63194,4,86,3,Reputation
2573,183,22625,4069,2496,45,63386,9,215,0,Reputation
2574,183,22625,4069,2496,45,63389,5,172,0,Reputation
2596,183,22625,4069,2496,45,67113,3,227,3,Reputation
2601,183,22625,4069,2496,45,71777,4,604,1,Reputation
2604,183,22625,4069,2496,45,72391,2,189,0,Reputation
2605,183,22625,4069,2496,45,72400,4,1603,0,Reputation
2607,183,22625,4069,2496,45,72402,4,76,0,Reputation
2613,183,22625,4069,2496,45,85690,3,126,1,Reputation
2625,183,22625,4069,2496,45,110534,4,61,3,Reputation
2648,190,1166,146,482,24,212,3,430,0,Reputation
2663,190,1166,146,482,24,573,10,1043,3,Reputation
2664,190,1166,146,482,24,590,2,242,3,Reputation
2667,190,1166,146,482,24,723,7,1836,0,Reputation
2669,190,1166,146,482,24,3167,4,400,0,Reputation
2670,190,1166,146,482,24,3476,14,16090,0,Reputation
2671,190,1166,146,482,24,3695,9,3928,0,Reputation
2672,190,1166,146,482,24,15741,1,994,0,Reputation
2673,190,1166,146,482,24,15798,1,3791,1,Reputation
2679,196,6140,649,497,114,225,7,617,2,Reputation
2685,196,6140,649,497,114,305,27,2939,0,Reputation
2686,196,6140,649,497,114,362,14,25597,0,Reputation
2687,196,6140,649,497,114,575,14,6570,3,Reputation
2688,196,6140,649,497,114,577,79,22354,2,Reputation
2690,196,6140,649,497,114,608,19,1244,9,Reputation
2697,196,6140,649,497,114,1012,0,538,3,Reputation
2701,196,6140,649,497,114,1256,5,757,4,Reputation
2703,196,6140,649,497,114,1286,4,3092,7,Reputation
2704,196,6140,649,497,114,1412,3,575,1,Reputation
2705,196,6140,649,497,114,1413,2,529,1,Reputation
2706,196,6140,649,497,114,1432,26,15463,3,Reputation
2709,196,6140,649,497,114,1583,3,357,0,Reputation
2713,196,6140,649,497,114,1749,5,372,0,Reputation
2718,196,6140,649,497,114,2390,6,2551,0,Reputation
2724,196,6140,649,497,114,4052,12,1696,0,Reputation
2727,196,6140,649,497,114,4544,12,6703,2,Reputation
2735,196,6140,649,497,114,4753,5,786,0,Reputation
2739,196,6140,649,497,114,5007,29,34044,3,Reputation
2743,196,6140,649,497,114,5352,3,208,1,Reputation
2746,196,6140,649,497,114,5517,11,4417,2,Reputation
2748,196,6140,649,497,114,5912,7,1271,0,Reputation
2750,196,6140,649,497,114,6557,6,2712,1,Reputation
2751,196,6140,649,497,114,6684,2,3053,3,Reputation
2753,196,6140,649,497,114,9519,3,177,0,Reputation
2754,196,6140,649,497,114,13132,8,1019,7,Reputation
2756,196,6140,649,497,114,13197,17,8410,4,Reputation
2759,196,6140,649,497,114,13411,2,63,0,Reputation
2761,196,6140,649,497,114,14323,4,879,0,Reputation
2763,196,6140,649,497,114,15771,7,298,2,Reputation
2764,196,6140,649,497,114,22832,8,174,9,Reputation
2770,196,6140,649,497,114,25745,0,291,3,Reputation
2776,196,6140,649,497,114,47736,0,146,12,Reputation
2783,196,6140,649,497,114,49832,17,550,9,Reputation
2799,196,6140,649,497,114,50875,1,67,0,Reputation
2802,196,6140,649,497,114,51005,2,188,9,Reputation
2804,196,6140,649,497,114,51155,3,308,1,Reputation
2806,196,6140,649,497,114,51258,6,196,0,Reputation
2817,196,6140,649,497,114,52244,0,66,0,Reputation
2818,196,6140,649,497,114,59683,7,126,4,Reputation
2820,196,6140,649,497,114,59985,1,45,2,Reputation
2826,196,6140,649,497,114,62454,0,30,0,Reputation
2830,196,6140,649,497,114,63441,13,702,4,Reputation
2833,196,6140,649,497,114,65236,2,32,0,Reputation
2842,196,6140,649,497,114,93211,2,44,2,Reputation
2843,196,6140,649,497,114,96738,8,135,0,Reputation
2844,196,6140,649,497,114,96739,22,3695,0,Reputation
2846,196,6140,649,497,114,96764,1,60,0,Reputation
2847,196,6140,649,497,114,96829,2,36,2,Reputation
2853,196,6140,649,497,114,99393,1,65,0,Reputation
2865,196,6140,649,497,114,109579,3,21,2,Reputation
2871,198,908,42,69,0,1709,4,858,5,Reputation
2880,198,908,42,69,0,11753,2,358,0,Reputation
2881,198,908,42,69,0,19955,5,337,6,Reputation
2882,198,908,42,69,0,20936,1,782,11,Reputation
2884,198,908,42,69,0,34034,5,355,0,Reputation
2885,198,908,42,69,0,41824,1,144,1,Reputation
2886,198,908,42,69,0,48396,20,3162,5,Reputation
2889,199,1815,188,149,3,242,12,470,5,Reputation
2891,199,1815,188,149,3,481,7,885,0,Reputation
2893,199,1815,188,149,3,1637,20,6142,1,Reputation
2895,199,1815,188,149,3,2385,6,283,3,Reputation
2896,199,1815,188,149,3,3841,10,131,1,Reputation
2897,199,1815,188,149,3,4383,8,1216,3,Reputation
2899,199,1815,188,149,3,4713,17,4854,0,Reputation
2901,199,1815,188,149,3,5079,5,926,0,Reputation
2902,199,1815,188,149,3,5344,40,16006,0,Reputation
2908,199,1815,188,149,3,7679,6,939,0,Reputation
2909,199,1815,188,149,3,7788,4,166,1,Reputation
2910,199,1815,188,149,3,7791,8,190,6,Reputation
2911,199,1815,188,149,3,11659,62,1865,3,Reputation
2913,199,1815,188,149,3,16390,25,12366,2,Reputation
2915,199,1815,188,149,3,17845,1,47,1,Reputation
2921,199,1815,188,149,3,25415,6,2519,11,Reputation
2925,199,1815,188,149,3,45664,0,219,5,Reputation
2927,199,1815,188,149,3,67725,5,197,3,Reputation
2928,199,1815,188,149,3,73310,2,52,3,Reputation
2957,215,2496,384,5,0,277,12,3033,0,Reputation
2959,215,2496,384,5,0,283,22,13685,0,Reputation
2975,215,2496,384,5,0,452,9,9951,4,Reputation
2977,215,2496,384,5,0,507,12,3303,1,Reputation
2985,215,2496,384,5,0,563,8,1855,5,Reputation
2986,215,2496,384,5,0,564,5,1498,2,Reputation
3014,221,615,77,95,0,278,6,120,1,Reputation
3018,221,615,77,95,0,4305,5,4381,2,Reputation
3020,221,615,77,95,0,6897,5,502,0,Reputation
3022,221,615,77,95,0,7240,7,3077,1,Reputation
3023,221,615,77,95,0,10529,4,201,1,Reputation
3024,221,615,77,95,0,15639,2,379,0,Reputation
3027,221,615,77,95,0,19271,11,11637,4,Reputation
3035,223,4022,1471,345,19,480,14,1711,0,Reputation
3036,223,4022,1471,345,19,490,16,2262,2,Reputation
3042,223,4022,1471,345,19,725,5,644,0,Reputation
3043,223,4022,1471,345,19,726,124,34780,1,Reputation
3048,223,4022,1471,345,19,812,6,942,1,Reputation
3049,223,4022,1471,345,19,880,6,392,2,Reputation
3052,223,4022,1471,345,19,973,16,4214,2,Reputation
3073,223,4022,1471,345,19,4364,26,2469,0,Reputation
3090,223,4022,1471,345,19,6838,12,296,2,Reputation
3093,223,4022,1471,345,19,7103,6,177,4,Reputation
3095,223,4022,1471,345,19,7251,5,390,0,Reputation
3108,223,4022,1471,345,19,11519,3,103,4,Reputation
3123,223,4022,1471,345,19,31892,9,160,0,Reputation
3131,226,1293,266,55,0,2794,4,1603,0,Reputation
3133,226,1293,266,55,0,3316,11,834,0,Reputation
3135,226,1293,266,55,0,4034,12,1099,0,Reputation
3136,226,1293,266,55,0,4220,44,7814,3,Reputation
3137,226,1293,266,55,0,4298,5,1463,0,Reputation
3138,226,1293,266,55,0,4606,3,236,2,Reputation
3143,226,1293,266,55,0,9610,3,1608,4,Reputation
3144,226,1293,266,55,0,10062,6,1070,0,Reputation
3147,226,1293,266,55,0,10851,2,94,0,Reputation
3152,226,1293,266,55,0,21687,1,239,0,Reputation
3156,226,1293,266,55,0,30474,2,310,10,Reputation
3158,226,1293,266,55,0,35776,3,1427,2,Reputation
3161,226,1293,266,55,0,36021,0,169,0,Reputation
3162,226,1293,266,55,0,37967,1,80,0,Reputation
3163,226,1293,266,55,0,38225,1,492,3,Reputation
3171,226,1293,266,55,0,65610,3,192,1,Reputation
3174,226,1293,266,55,0,75052,1,28,0,Reputation
3176,226,1293,266,55,0,81680,0,145,2,Reputation
3186,229,629,64,65,0,2335,8,1114,3,Reputation
3192,229,629,64,65,0,6998,3,237,0,Reputation
3199,230,1233,106,170,2,6308,17,1870,1,Reputation
3200,230,1233,106,170,2,9688,1,106,1,Reputation
3201,230,1233,106,170,2,9699,18,9910,7,Reputation
3202,230,1233,106,170,2,10343,4,1048,0,Reputation
3204,230,1233,106,170,2,10977,4,284,2,Reputation
3205,230,1233,106,170,2,13797,14,2336,8,Reputation
3206,230,1233,106,170,2,16556,3,389,4,Reputation
3208,230,1233,106,170,2,19384,4,1336,0,Reputation
3209,230,1233,106,170,2,26512,4,979,1,Reputation
3211,230,1233,106,170,2,31513,17,2171,5,Reputation
3212,230,1233,106,170,2,33304,3,1521,7,Reputation
3215,230,1233,106,170,2,45481,3,119,1,Reputation
3216,230,1233,106,170,2,70086,1,134,3,Reputation
3217,230,1233,106,170,2,70124,1,154,1,Reputation
3220,230,1233,106,170,2,78084,0,31,7,Reputation
3221,230,1233,106,170,2,79229,0,54,0,Reputation
3223,230,1233,106,170,2,83481,1,96,0,Reputation
3224,230,1233,106,170,2,91970,3,462,2,Reputation
3225,230,1233,106,170,2,91975,1,47,7,Reputation
3228,230,1233,106,170,2,97051,2,120,1,Reputation
3230,230,1233,106,170,2,113557,0,34,2,Reputation
3231,230,1233,106,170,2,114152,26,2122,8,Reputation
3246,247,898,104,82,3,346,26,4873,2,Reputation
3257,247,898,104,82,3,1454,1,87,1,Reputation
3268,247,898,104,82,3,67480,2,76,0,Reputation
3286,251,7931,984,819,0,570,12,753,2,Reputation
3417,253,5309,1147,1160,5,1160,1,387,6,Reputation
3420,253,5309,1147,1160,5,1266,10,7210,3,Reputation
3424,253,5309,1147,1160,5,1455,7,2435,0,Reputation
3425,253,5309,1147,1160,5,1761,22,2240,0,Reputation
3426,253,5309,1147,1160,5,1787,5,1196,2,Reputation
3427,253,5309,1147,1160,5,1866,11,1702,0,Reputation
3429,253,5309,1147,1160,5,1870,3,441,0,Reputation
3431,253,5309,1147,1160,5,1961,3,1265,3,Reputation
3433,253,5309,1147,1160,5,2008,3,191,2,Reputation
3438,253,5309,1147,1160,5,2234,34,4337,4,Reputation
3439,253,5309,1147,1160,5,2282,0,130,10,Reputation
3440,253,5309,1147,1160,5,2410,8,541,0,Reputation
3442,253,5309,1147,1160,5,2728,4,1259,0,Reputation
3444,253,5309,1147,1160,5,2844,6,2101,2,Reputation
3448,253,5309,1147,1160,5,3101,6,449,3,Reputation
3449,253,5309,1147,1160,5,3165,1,1185,4,Reputation
3454,253,5309,1147,1160,5,3262,23,2923,0,Reputation
3455,253,5309,1147,1160,5,3309,3,272,0,Reputation
3456,253,5309,1147,1160,5,3425,17,5446,3,Reputation
3459,253,5309,1147,1160,5,3458,16,1518,1,Reputation
3460,253,5309,1147,1160,5,3820,6,2090,10,Reputation
3462,253,5309,1147,1160,5,3931,28,8386,2,Reputation
3463,253,5309,1147,1160,5,3943,23,19094,0,Reputation
3465,253,5309,1147,1160,5,4013,8,1462,1,Reputation
3467,253,5309,1147,1160,5,4062,9,3567,4,Reputation
3468,253,5309,1147,1160,5,4165,9,2030,1,Reputation
3469,253,5309,1147,1160,5,4214,4,283,3,Reputation
3470,253,5309,1147,1160,5,4335,27,1084,2,Reputation
3474,253,5309,1147,1160,5,4667,5,161,5,Reputation
3476,253,5309,1147,1160,5,4812,10,2033,3,Reputation
3477,253,5309,1147,1160,5,4817,5,481,0,Reputation
3478,253,5309,1147,1160,5,4818,7,1467,0,Reputation
3479,253,5309,1147,1160,5,4834,4,728,4,Reputation
3482,253,5309,1147,1160,5,5278,41,3963,3,Reputation
3484,253,5309,1147,1160,5,5443,3,544,2,Reputation
3485,253,5309,1147,1160,5,5617,9,15051,3,Reputation
3486,253,5309,1147,1160,5,5691,3,1094,5,Reputation
3489,253,5309,1147,1160,5,5937,19,6896,2,Reputation
3490,253,5309,1147,1160,5,6042,3,620,4,Reputation
3491,253,5309,1147,1160,5,6081,5,2646,0,Reputation
3492,253,5309,1147,1160,5,6268,8,460,2,Reputation
3493,253,5309,1147,1160,5,6375,12,454,2,Reputation
3494,253,5309,1147,1160,5,6478,8,3627,2,Reputation
3496,253,5309,1147,1160,5,6581,13,10961,0,Reputation
